pattern,サイズbytes,row_count,unique_hash_count,devices,blob_kinds,sample_generations
SAME_HASH_REPETITION,119873552,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-06\-- 2026-01-06  (01_fa-00_ff) -- | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-06\-- 2026-01-06-194020  01_fa --
SAME_HASH_REPETITION,118984720,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-24\2026-01-24-123640  00_ff | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-31\2026-01-31-092458  No
SAME_HASH_REPETITION,116281360,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-26\- 2026-01-26-094229  (0d_fe-00_ff) - | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-26\- 2026-01-26-094229  0d_fe -
SAME_HASH_REPETITION,116572176,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-27\- 2026-01-27  (00_fe-00_ff) - | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-01-27\-2026-01-27-090130  00_fe -
SAME_HASH_REPETITION,117424144,2,1,12G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-02-01\- 2026-02-01-134402  (00_fe-00_ff) - | H:\Manifest\My_Device\12G\00008101-0010145911E0001E\2026-02-01\- 2026-02-01-134402  00_fe -
SAME_HASH_REPETITION,139739152,2,1,15G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2025-12-20\- 2025-12-19_1  (00_fe-00_ff) - | H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2025-12-20\2025-12-20-124836  00_fe
SAME_HASH_REPETITION,141881360,2,1,15G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-02\- 2025-01-02  (00_fe-00_ff) - | H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-02\- 2026-01-02-023052  00_fe -
SAME_HASH_REPETITION,141254672,2,1,15G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-09\- 2026-01-09  (00_fd-00_ff) - | H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-09\- 2026-01-09-194624  00_fd -
SAME_HASH_REPETITION,8953872,2,1,Friend,OPAQUE_HIGH_ENTROPY,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16  (00_e9-00_ff) | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-16\Internet_Cafe\- 2026-01-16-164631  00_e9 -
SAME_HASH_REPETITION,8949776,2,1,Friend,OPAQUE_HIGH_ENTROPY,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17  (00_fa-00_ff) - | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-17\My_PC\- 2026-01-17-005317  00_fa -
SAME_HASH_REPETITION,8953872,2,1,Friend,OPAQUE_HIGH_ENTROPY,H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21  (00_e9-00_ff) - | H:\Manifest\Friend_Device\iPhone6 Plus\10177d45c1f7582e34796f23474bffc9cf5f7359\2026-01-21\My_PC\- 2026-01-21-170058  00_e9 -
SAME_HASH_REPETITION,219422736,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-17\- 2026-01-17  (2b_fa-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-17\- 2026-01-17-201029  2b_fa -
SAME_HASH_REPETITION,219365392,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-18\- 2026-01-18  (1d_fd-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-18\- 2026-01-18-130926  1d_fd -
SAME_HASH_REPETITION,219746320,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-23\- 2026-01-23-080754  1f_fa - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-23\- 2026-01-23-1_End  (1f_fa-00_ff) -
